BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,class_risk,class_risk_m1,class_risk_m2,class_risk_m3,class_risk_m4,class_risk_m5,class_risk_m6,class_risk_m7,m1,m2,m3,m4,m5,m6,m7
0,15,7.2992521072698855,7.2992521072698855,13.812438390218707,19.42400865989426,-10.945907980638383,-22.079004313102928,-42.99469004156934,14.797989558389057,-29.536440558291915,-15.031468297078538,39.63961812675108,5,1,1,1,1,0,0,0,0.797320452376948,0.6084411621264594,0.40299221867725377,0.19827174715747178,0.1921328837133033,0.20383409096231053,0.18461981996132867
0,-25,40.399510995730445,-22.40268671367136,13.812438390218707,-49.51991545494345,-10.945907980638383,-22.079004313102928,-42.99469004156934,-81.901734177782,-29.536440558291915,-13.500139077538273,39.63961812675108,2,1,0,0,0,1,0,0,0.9645257990445366,0.7666967458416382,0.5244083922279988,0.2550328024640044,0.2592761044809782,0.25319050883789684,0.278757046456503
0,-13,-32.18194644342938,10.11865790349539,-6.275190007720369,19.42400865989426,-20.34482074943662,-22.079004313102928,-42.99469004156934,-31.13443821970031,78.68473319601337,-15.031468297078538,39.63961812675108,4,1,1,1,0,0,0,1,0.7438029415971997,0.585356520862741,0.4041909265610088,0.21834430378594308,0.15586326224526698,0.19120218482070117,0.18589959960731117
1,89,-6.318552611490688,-11.87408699036024,13.812438390218707,19.424008659894593,-20.34482074943662,-22.079004313102928,-42.99469004156934,38.697488071011776,-0.6569301763486839,-15.031468297078538,39.63961812675108,1,0,0,0,0,0,0,0,0.5592915917025342,0.46141490096000004,0.31790268026797874,0.16401094697468677,0.1511537744516626,0.15416843043659223,0.1387582480676366
0,15,-6.318552611490688,-40.62300597238661,-6.275190007720369,-22.37610864042569,-20.34482074943662,-22.079004313102928,-42.99469004156934,-43.19919285488464,-29.536440558291915,11.454218526304683,39.63961812675108,5,1,1,1,1,0,0,0,0.9196556432236396,0.6970042899570384,0.4447757702245209,0.22235148263461094,0.20218395918380966,0.22932197318845632,0.22503909641859132
0,-18,-32.18194644342938,-40.62300597238661,-6.275190007720369,19.42400865989426,-10.945907980638383,-22.079004313102928,-42.99469004156934,-81.901734177782,-6.25576901306983,11.454218526304683,39.63961812675108,3,1,1,0,0,0,1,0,0.9272736830239608,0.7499168802976613,0.4917157299592646,0.24927154055274575,0.19286058166097006,0.259288970128624,0.23928896225574842
0,-25,7.2992521072698855,10.11865790349539,-6.275190007720369,-22.37610864042569,-10.945907980638383,-22.079004313102928,-42.99469004156934,-81.901734177782,-6.25576901306983,11.454218526304683,39.63961812675108,4,1,1,1,0,0,0,1,0.9369552281347282,0.73286315838127,0.47250786977320713,0.23922067123546617,0.19233491316762485,0.2467096860530112,0.24463809877479106
0,15,-2.565304319827164,63.01142213840788,13.812438390218707,19.424008659894593,-10.945907980638383,-57.59796544535699,-42.99469004156934,-81.901734177782,-0.6569301763486839,-20.68858016609951,39.63961812675108,5,1,1,1,1,0,0,0,0.8722377163768897,0.6964984035688704,0.4776493024056552,0.25533600348169583,0.18513331593921295,0.23810923963554279,0.22064059644942
0,-13,-32.18194644342938,10.11865790349539,-6.275190007720369,-22.37610864042569,-20.34482074943662,-22.079004313102928,-42.99469004156934,28.859638235579908,-29.536440558291915,11.454218526304683,39.63961812675108,2,1,0,0,0,1,0,0,0.8684490021148537,0.6277629808074235,0.39334903837883667,0.21489125483461227,0.19300881834302455,0.22263479796479735,0.20270796679181324
1,-18,-32.18194644342938,-40.62300597238661,-6.275190007720369,19.42400865989426,-10.945907980638383,-22.079004313102928,-42.99469004156934,69.12583342354228,-0.6569301763486839,11.454218526304683,39.63961812675108,1,0,0,0,0,0,0,0,0.7830131217116261,0.5906978972343747,0.3794473616211183,0.1885475353279617,0.18336585178414125,0.19740741041577892,0.18361600101999404
0,-18,-32.18194644342938,-40.62300597238661,-6.275190007720369,-22.37610864042569,-0.6205657461785694,-22.079004313102928,-42.99469004156934,14.797989558389057,78.68473319601337,-13.500139077538273,39.63961812675108,5,1,1,1,1,0,0,0,0.7969531140583291,0.5707561351631276,0.3994669462505268,0.21408815387474248,0.18700947707653445,0.1799322466312181,0.1981653975769811
0,-13,-2.565304319827164,-8.032194296216991,-6.275190007720369,19.424008659894593,-10.945907980638383,-22.079004313102928,-42.99469004156934,-31.13443821970031,78.68473319601337,11.454218526304683,39.63961812675108,5,1,1,1,1,0,0,0,0.7617183516226119,0.5963970723220254,0.38961009555597503,0.1895160173007912,0.13971025868091397,0.1808912325435209,0.1850622259675844
0,-18,31.749926723937673,-22.40268671367136,-6.275190007720369,-49.51991545494345,-0.6205657461785694,-22.079004313102928,-42.99469004156934,3.225703186350525,-6.25576901306983,11.454218526304683,39.63961812675108,4,1,1,1,0,0,0,1,0.9120851344738365,0.6577970099471439,0.4201749969202031,0.19929489196995323,0.2082155047471565,0.20348129605103665,0.22584564830290998
